week_date,cnt_ave_week
2003-01-01,2796.2
2003-01-08,2672.5
2003-01-15,2292.5714285714284
2003-01-22,2218.1666666666665
2003-01-29,1951.2857142857142
2003-02-05,3044.4
2003-02-12,1453.75
2003-02-19,1719.0
2003-02-26,1455.1666666666667
2003-03-05,1222.0
2003-03-12,1392.0
2003-03-19,1390.0
2003-03-26,1152.857142857143
2003-04-02,1028.142857142857
2003-04-09,1436.0
2003-04-16,1255.4285714285713
2003-04-23,1585.857142857143
2003-04-30,1096.0
2003-05-07,1493.4285714285713
2003-05-14,1669.5
2003-05-21,2377.8333333333335
2003-05-28,1184.5714285714287
2003-06-04,1640.5714285714287
2003-06-11,850.2
2003-06-18,1120.2857142857142
2003-06-25,1411.3333333333333
2003-07-02,1204.0
2003-07-09,1072.4285714285713
2003-07-16,1211.142857142857
2003-07-23,1295.0
2003-07-30,1444.5
2003-08-06,1344.8333333333333
2003-08-13,1347.6666666666667
2003-08-20,1340.2857142857142
2003-08-27,1176.2857142857142
2003-09-03,1363.3333333333333
2003-09-10,1407.6666666666667
2003-09-17,1547.1666666666667
2003-09-24,1972.0
2003-10-01,468.2
2003-10-08,2008.6666666666667
2003-10-15,1739.1666666666667
2003-10-22,1605.6666666666667
2003-10-29,1577.6666666666667
2003-11-05,1506.8333333333333
2003-11-12,1524.3333333333333
2003-11-19,1286.4285714285713
2003-11-26,1675.0
2003-12-03,1674.0
2003-12-10,1703.6666666666667
2003-12-17,1521.8333333333333
2003-12-24,1316.1666666666667
2003-12-31,2416.4
2004-01-07,3244.5
2004-01-14,2343.0
2004-01-21,2666.4285714285716
2004-01-28,2529.75
2004-02-04,1489.6
2004-02-11,1879.2857142857142
2004-02-18,1354.142857142857
2004-02-25,1612.5714285714287
2004-03-03,1472.8333333333333
2004-03-10,1386.6666666666667
2004-03-17,1593.1666666666667
2004-03-24,1536.857142857143
2004-03-31,1214.857142857143
2004-04-07,1474.8333333333333
2004-04-14,1413.2857142857142
2004-04-21,1676.3333333333333
2004-04-28,1435.3333333333333
2004-05-05,1667.6666666666667
2004-05-12,1201.142857142857
2004-05-19,1277.3333333333333
2004-05-26,1238.857142857143
2004-06-02,1260.1666666666667
2004-06-09,1150.0
2004-06-16,1314.0
2004-06-23,1653.6666666666667
2004-06-30,1572.6666666666667
2004-07-07,1472.5
2004-07-14,1590.3333333333333
2004-07-21,1319.1666666666667
2004-07-28,1271.8333333333333
2004-08-04,1540.3333333333333
2004-08-11,1278.0
2004-08-18,1201.142857142857
2004-08-25,1417.8333333333333
2004-09-01,1890.3333333333333
2004-09-08,2052.2
2004-09-15,1557.5
2004-09-22,1778.2857142857142
2004-09-29,2061.3333333333335
2004-10-06,1671.2857142857142
2004-10-13,1818.5
2004-10-20,1459.1666666666667
2004-10-27,1738.5
2004-11-03,1526.6666666666667
2004-11-10,1269.142857142857
2004-11-17,1645.0
2004-11-24,1447.6666666666667
2004-12-01,1531.3333333333333
2004-12-08,1592.8333333333333
2004-12-15,1562.1666666666667
2004-12-22,1346.0
2004-12-29,2375.0
2005-01-05,4614.166666666667
2005-01-12,2325.1428571428573
2005-01-19,2182.8571428571427
2005-01-26,2636.8333333333335
2005-02-02,2710.5
2005-02-09,3411.5714285714284
2005-02-16,3471.5
2005-02-23,2972.8
2005-03-02,2415.5
2005-03-09,1581.3333333333333
2005-03-16,1840.3333333333333
2005-03-23,1767.5
2005-03-30,1521.6666666666667
2005-04-06,1375.0
2005-04-13,1410.3333333333333
2005-04-20,1738.3333333333333
2005-04-27,1904.0
2005-05-04,2101.3333333333335
2005-05-11,1704.6666666666667
2005-05-18,1871.3333333333333
2005-05-25,1494.5
2005-06-01,1557.0
2005-06-08,1555.0
2005-06-15,1534.6666666666667
2005-06-22,1774.0
2005-06-29,1537.8333333333333
2005-07-06,1762.5
2005-07-13,1594.6666666666667
2005-07-20,1539.5
2005-07-27,1385.3333333333333
2005-08-03,1847.8333333333333
2005-08-10,1720.0
2005-08-17,1276.142857142857
2005-08-24,1329.5714285714287
2005-08-31,2152.8
2005-09-07,1612.6666666666667
2005-09-14,1546.6666666666667
2005-09-21,1781.8333333333333
2005-09-28,2031.4
2005-10-05,2587.25
2005-10-12,1822.857142857143
2005-10-19,2115.3333333333335
2005-10-26,1646.0
2005-11-02,1569.4285714285713
2005-11-09,1935.8333333333333
2005-11-16,1831.1666666666667
2005-11-23,1823.3333333333333
2005-11-30,2040.5
2005-12-07,1855.3333333333333
2005-12-14,1899.5
2005-12-21,1771.0
2005-12-28,1266.6666666666667
2006-01-04,4600.0
2006-01-11,3040.0
2006-01-18,3007.0
2006-01-25,3001.6666666666665
2006-02-01,4407.666666666667
2006-02-08,1844.0
2006-02-15,3180.8333333333335
2006-02-22,2093.5
2006-03-01,1971.5
2006-03-08,1865.1666666666667
2006-03-15,1750.8333333333333
2006-03-22,1803.0
2006-03-29,2297.0
2006-04-05,2607.3333333333335
